Offence,Cases,Offences_total,Attempts,Solved,Suspects_total,Legal_entities,Natural_persons,Male,Female,Gender_unknown,Under_10,Age_10_14,Age_15_17,Age_18_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_49,Age_50_59,Age_60_69,Age_70_plus,Age_unknown,Swiss,Foreign,Foreign_residents,Asylum_population,Other_foreigners,Year
Gesamttotal,27331.0,44228.0,39.0,42490.0,20554.0,5.0,20549.0,17883,2666,0,1,166,1400,1126,3066,3287,3144,2711,3581,1585,409,72,1,9007,11542,5604,994,4944,2025
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",24141.0,32378.0,7.0,31672.0,18143.0,2.0,18141.0,15795,2346,0,0,157,1332,1012,2674,2835,2775,2386,3193,1385,338,53,1,8197,9944,5056,934,3954,2025
Konsum von Betäubungsmitteln,18268.0,19236.0,5.0,19224.0,14705.0,0.0,14705.0,12908,1797,0,0,136,1143,837,2219,2333,2286,1939,2492,1051,234,35,0,6709,7996,4226,745,3025,2025
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",154.0,162.0,1.0,160.0,158.0,0.0,158.0,138,20,0,0,0,2,6,7,16,26,27,43,26,3,2,0,127,31,27,2,2,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",1245.0,1257.0,1.0,1198.0,1133.0,0.0,1133.0,875,258,0,0,3,24,49,140,166,162,166,231,114,63,14,1,505,628,261,22,345,2025
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",11583.0,11723.0,0.0,11090.0,8829.0,2.0,8827.0,7735,1092,0,0,84,755,470,1226,1327,1321,1131,1591,722,177,22,1,3885,4942,2297,541,2104,2025
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung ",6769.0,11363.0,31.0,10343.0,6100.0,5.0,6095.0,5388,707,0,1,39,339,381,977,1010,914,767,1029,471,142,25,0,2465,3630,1535,266,1829,2025
davon Vergehen,5837.0,8932.0,29.0,7999.0,5086.0,3.0,5083.0,4495,588,0,1,36,327,348,802,836,762,592,850,388,118,23,0,2176,2907,1262,249,1396,2025
"anbauen, herstellen oder anders erzeugen",235.0,289.0,3.0,279.0,278.0,0.0,278.0,253,25,0,0,2,5,1,24,36,47,54,72,28,8,1,0,210,68,57,3,8,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen",975.0,1008.0,3.0,859.0,858.0,2.0,856.0,700,156,0,0,1,28,31,118,148,135,116,154,83,33,9,0,351,505,195,14,296,2025
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",2990.0,3361.0,23.0,3265.0,2900.0,1.0,2899.0,2591,308,0,0,28,214,227,482,481,434,333,440,198,52,10,0,1212,1687,704,151,832,2025
"besitzen, aufbewahren, erwerben, anders erlangen",3995.0,4179.0,0.0,3502.0,3316.0,0.0,3316.0,2978,338,0,1,14,196,233,569,545,497,366,573,234,72,16,0,1395,1921,804,175,942,2025
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,17.0,19.0,0.0,19.0,20.0,0.0,20.0,13,7,0,0,0,2,0,8,1,1,1,6,0,1,0,0,11,9,9,0,0,2025
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",11.0,12.0,0.0,12.0,12.0,0.0,12.0,12,0,0,0,0,0,2,4,1,2,2,1,0,0,0,0,1,11,4,2,5,2025
"Betäubungsmittel einer Person unter 18 Jahren ohne medizinische Indikation, anbieten, abgeben oder anders zugänglich machen",58.0,59.0,0.0,58.0,58.0,0.0,58.0,54,4,0,0,2,18,8,9,4,5,5,3,3,0,1,0,29,29,23,5,1,2025
übrige Vergehen Handel (Art. 20),5.0,5.0,0.0,5.0,5.0,0.0,5.0,4,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,3,x,x,x,2025
davon Verbrechen,1229.0,2431.0,2.0,2344.0,1383.0,2.0,1381.0,1231,150,0,0,3,23,59,240,233,218,212,253,112,26,2,0,480,901,376,30,495,2025
"anbauen, herstellen oder anders erzeugen",34.0,67.0,0.0,67.0,67.0,0.0,67.0,61,6,0,0,0,0,0,6,10,14,13,15,7,2,0,0,38,29,18,0,11,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen",229.0,269.0,0.0,260.0,248.0,0.0,248.0,210,38,0,0,0,3,4,33,56,40,41,47,20,4,0,0,56,192,56,5,131,2025
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",969.0,1277.0,2.0,1221.0,1109.0,0.0,1109.0,998,111,0,0,2,18,53,199,175,167,167,216,90,20,2,0,398,711,322,25,364,2025
"besitzen, aufbewahren, erwerben, anders erlangen",725.0,791.0,0.0,769.0,842.0,2.0,840.0,750,90,0,0,3,13,33,147,142,134,132,151,66,19,0,0,285,555,203,11,341,2025
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,13.0,15.0,0.0,15.0,15.0,0.0,15.0,13,2,0,0,0,2,1,0,2,2,5,2,1,0,0,0,5,10,6,0,4,2025
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",7.0,7.0,0.0,7.0,7.0,0.0,7.0,7,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,1,6,2,0,4,2025
"in Ausbildungsstätten vorwiegend für Jugendliche gewerbsmässig Betäubungsmittel anbieten, abgeben oder auf andere Weise zugänglich machen",2.0,2.0,0.0,2.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025
übrige Verbrechen Handel (Art. 20),2.0,3.0,0.0,3.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025
Total: übrige Straftaten gegen das BetmG,458.0,487.0,1.0,475.0,409.0,1.0,408.0,367,41,0,0,3,25,47,76,67,42,38,71,28,10,1,0,185,223,77,34,112,2025
übrige Übertretungen,25.0,34.0,0.0,25.0,24.0,0.0,24.0,17,7,0,0,0,1,0,3,5,4,3,6,1,1,0,0,12,12,4,1,7,2025
übrige Vergehen,434.0,453.0,1.0,450.0,387.0,1.0,386.0,351,35,0,0,3,24,47,74,63,38,35,65,27,9,1,0,174,212,73,33,106,2025
X: Entfällt aus Datenschutzgründen (Totalwerte 1-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, Ci, diplomatisches Personal, internationale Funktionär/innen
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, legal anwesende Personen ohne ausweispflichtigen Status (Tourist/innen, Besucher/innen), im Meldeverfahren für Kurzerwerbstätigkeit (Staatsangehörige / Angestellte von Unternehmen EU/EFTA), illegal anwesende Personen ohne Asylverfahren, illegal anwesende Asylsuchende mit negativem Asylentscheid und Ausreisepflicht, Rückweisung an der Grenze, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
Stand der Datenbank: 13.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
© BFS 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
Gesamttotal,29040.0,48208.0,57.0,46417.0,21901.0,3.0,21898.0,19031,2867,0,0,211,1788,1314,3436,3479,3221,2659,3785,1568,363,73,1,9854,12044,5792,1183,5069,2024
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",26065.0,35994.0,21.0,34875.0,19437.0,1.0,19436.0,16867,2569,0,0,195,1701,1179,3032,3028,2843,2361,3331,1396,311,58,1,9048,10388,5241,1100,4047,2024
Konsum von Betäubungsmitteln,20188.0,21221.0,14.0,21217.0,16206.0,0.0,16206.0,14123,2083,0,0,167,1505,983,2568,2582,2355,1964,2736,1081,230,35,0,7624,8582,4450,914,3218,2024
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",304.0,316.0,1.0,307.0,299.0,0.0,299.0,252,47,0,0,0,8,7,32,40,47,38,74,41,9,3,0,221,78,73,0,5,2024
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",1559.0,1583.0,6.0,1493.0,1436.0,0.0,1436.0,1101,335,0,0,3,40,62,203,194,230,185,288,155,52,23,1,720,716,371,20,325,2024
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",12732.0,12874.0,0.0,11858.0,9556.0,1.0,9555.0,8294,1261,0,0,96,1003,595,1399,1355,1337,1165,1653,765,159,28,0,4384,5171,2409,622,2140,2024
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung ",6734.0,11661.0,35.0,10997.0,6457.0,3.0,6454.0,5756,698,0,0,47,421,430,1078,1078,926,764,1092,476,118,24,0,2644,3810,1564,298,1948,2024
davon Vergehen,5760.0,9077.0,32.0,8508.0,5351.0,3.0,5348.0,4791,557,0,0,47,413,397,888,878,721,611,871,405,97,20,0,2313,3035,1303,283,1449,2024
"anbauen, herstellen oder anders erzeugen",261.0,335.0,0.0,331.0,321.0,0.0,321.0,293,28,0,0,0,3,6,31,50,54,59,70,36,9,3,0,221,100,77,1,22,2024
"lagern, versenden, befördern, einführen, ausführen oder durchführen",844.0,874.0,8.0,791.0,787.0,2.0,785.0,665,120,0,0,3,21,42,111,144,128,95,165,54,14,8,0,286,499,198,5,296,2024
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",3225.0,3660.0,23.0,3538.0,3127.0,1.0,3126.0,2825,301,0,0,40,287,242,549,506,395,371,443,232,56,5,0,1359,1767,770,165,832,2024
"besitzen, aufbewahren, erwerben, anders erlangen",3883.0,4082.0,0.0,3728.0,3521.0,2.0,3519.0,3195,324,0,0,8,229,258,615,616,460,400,587,266,63,17,0,1509,2010,852,209,949,2024
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,9.0,10.0,0.0,10.0,12.0,0.0,12.0,11,1,0,0,0,0,1,3,2,5,0,1,0,0,0,0,5,7,1,0,6,2024
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",7.0,7.0,0.0,7.0,7.0,0.0,7.0,6,1,0,0,0,0,3,1,1,1,0,1,0,0,0,0,6,1,X,X,X,2024
"Betäubungsmittel einer Person unter 18 Jahren ohne medizinische Indikation, anbieten, abgeben oder anders zugänglich machen",96.0,100.0,1.0,96.0,94.0,0.0,94.0,77,17,0,0,3,37,21,15,5,2,3,1,4,2,1,0,61,33,24,5,4,2024
übrige Vergehen Handel (Art. 20),9.0,9.0,0.0,7.0,7.0,0.0,7.0,6,1,0,0,0,0,0,1,2,2,0,1,0,1,0,0,2,5,5,0,0,2024
davon Verbrechen,1284.0,2584.0,3.0,2489.0,1503.0,0.0,1503.0,1327,176,0,0,0,18,55,247,262,265,214,296,112,28,6,0,532,971,360,21,590,2024
"anbauen, herstellen oder anders erzeugen",77.0,125.0,0.0,122.0,116.0,0.0,116.0,108,8,0,0,0,0,1,17,19,31,18,19,8,3,0,0,58,58,28,1,29,2024
"lagern, versenden, befördern, einführen, ausführen oder durchführen",243.0,299.0,3.0,282.0,273.0,0.0,273.0,228,45,0,0,0,0,6,47,54,50,40,50,17,8,1,0,73,200,52,1,147,2024
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",1004.0,1327.0,0.0,1270.0,1193.0,0.0,1193.0,1064,129,0,0,0,13,47,198,205,219,172,230,84,20,5,0,433,760,306,19,435,2024
"besitzen, aufbewahren, erwerben, anders erlangen",713.0,819.0,0.0,801.0,864.0,0.0,864.0,777,87,0,0,0,11,35,151,133,156,119,163,70,20,6,0,262,602,189,12,401,2024
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,3.0,5.0,0.0,5.0,5.0,0.0,5.0,3,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,3,X,X,X,2024
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",6.0,6.0,0.0,6.0,6.0,0.0,6.0,6,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,3,3,X,X,X,2024
"in Ausbildungsstätten vorwiegend für Jugendliche gewerbsmässig Betäubungsmittel anbieten, abgeben oder auf andere Weise zugänglich machen",2.0,2.0,0.0,2.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2024
übrige Verbrechen Handel (Art. 20),1.0,1.0,0.0,1.0,1.0,0.0,1.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2024
Total: übrige Straftaten gegen das BetmG,510.0,553.0,1.0,545.0,444.0,0.0,444.0,409,35,0,0,1,27,35,83,70,45,52,77,40,11,3,0,201,243,82,38,123,2024
übrige Übertretungen,24.0,29.0,0.0,24.0,24.0,0.0,24.0,20,4,0,0,0,2,5,1,2,0,5,4,5,0,0,0,8,16,8,3,5,2024
übrige Vergehen,486.0,524.0,1.0,521.0,420.0,0.0,420.0,389,31,0,0,1,25,30,82,68,45,47,73,35,11,3,0,193,227,74,35,118,2024
X: Entfällt aus Datenschutzgründen (Totalwerte 1-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, Ci, diplomatisches Personal, internationale Funktionär/innen
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, legal anwesende Personen ohne ausweispflichtigen Status (Tourist/innen, Besucher/innen), im Meldeverfahren für Kurzerwerbstätigkeit (Staatsangehörige / Angestellte von Unternehmen EU/EFTA), illegal anwesende Personen ohne Asylverfahren, illegal anwesende Asylsuchende mit negativem Asylentscheid und Ausreisepflicht, Rückweisung an der Grenze, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Stand der Datenbank: 14.02.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
© BFS 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Gesamttotal,32199.0,54458.0,58.0,52108.0,24246.0,1.0,24245.0,21070.0,3175.0,0.0,0.0,239.0,2179.0,1661.0,4088.0,3932.0,3521.0,2813.0,3830.0,1551.0,373.0,56.0,2.0,11515.0,12730.0,6076,1220,5434,2023
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",28890.0,42083.0,10.0,40662.0,21909.0,1.0,21908.0,19009.0,2899.0,0.0,0.0,225.0,2085.0,1515.0,3704.0,3507.0,3164.0,2536.0,3431.0,1377.0,316.0,48.0,0.0,10706.0,11202.0,5581,1158,4463,2023
Konsum von Betäubungsmitteln,21733.0,22656.0,7.0,22636.0,17649.0,0.0,17649.0,15363.0,2286.0,0.0,0.0,199.0,1867.0,1244.0,2941.0,2768.0,2553.0,2046.0,2717.0,1046.0,230.0,38.0,0.0,9010.0,8639.0,4674,918,3047,2023
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",357.0,374.0,3.0,370.0,363.0,0.0,363.0,303.0,60.0,0.0,0.0,1.0,11.0,6.0,40.0,56.0,59.0,47.0,80.0,46.0,16.0,1.0,0.0,272.0,91.0,79,2,10,2023
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",2620.0,2656.0,0.0,2492.0,2383.0,0.0,2383.0,1940.0,443.0,0.0,0.0,3.0,38.0,130.0,429.0,434.0,375.0,293.0,412.0,180.0,72.0,17.0,0.0,990.0,1393.0,491,13,889,2023
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",16287.0,16397.0,0.0,15164.0,12252.0,1.0,12251.0,10618.0,1633.0,0.0,0.0,114.0,1247.0,842.0,2007.0,1919.0,1680.0,1416.0,1961.0,840.0,201.0,24.0,0.0,5853.0,6398.0,3001,671,2726,2023
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung ",7230.0,12024.0,47.0,11103.0,6625.0,1.0,6624.0,5893.0,731.0,0.0,0.0,61.0,537.0,465.0,1137.0,1037.0,930.0,762.0,1088.0,458.0,133.0,14.0,2.0,2927.0,3697.0,1542,250,1905,2023
davon Vergehen,6323.0,9662.0,34.0,8841.0,5613.0,1.0,5612.0,4999.0,613.0,0.0,0.0,59.0,526.0,413.0,994.0,862.0,767.0,618.0,874.0,377.0,109.0,11.0,2.0,2638.0,2974.0,1295,228,1451,2023
"anbauen, herstellen oder anders erzeugen",310.0,371.0,0.0,366.0,356.0,0.0,356.0,324.0,32.0,0.0,0.0,1.0,4.0,8.0,32.0,56.0,60.0,60.0,83.0,39.0,13.0,0.0,0.0,264.0,92.0,81,0,11,2023
"lagern, versenden, befördern, einführen, ausführen oder durchführen",1015.0,1044.0,4.0,915.0,887.0,0.0,887.0,762.0,125.0,0.0,0.0,3.0,24.0,50.0,175.0,166.0,137.0,109.0,141.0,57.0,22.0,3.0,0.0,296.0,591.0,176,2,413,2023
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",3335.0,3725.0,28.0,3600.0,3243.0,1.0,3242.0,2927.0,315.0,0.0,0.0,37.0,349.0,280.0,592.0,506.0,394.0,318.0,472.0,230.0,54.0,8.0,2.0,1624.0,1618.0,781,124,713,2023
"besitzen, aufbewahren, erwerben, anders erlangen",4184.0,4381.0,0.0,3828.0,3593.0,1.0,3592.0,3235.0,357.0,0.0,0.0,26.0,302.0,260.0,661.0,534.0,522.0,399.0,567.0,234.0,76.0,9.0,2.0,1672.0,1920.0,802,159,959,2023
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,5.0,6.0,0.0,5.0,5.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,X,X,X,2023
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",7.0,7.0,0.0,6.0,6.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,X,X,X,2023
"Betäubungsmittel einer Person unter 18 Jahren ohne medizinische Indikation, anbieten, abgeben oder anders zugänglich machen",110.0,114.0,1.0,110.0,105.0,0.0,105.0,92.0,13.0,0.0,0.0,10.0,39.0,13.0,17.0,4.0,6.0,8.0,6.0,1.0,1.0,0.0,0.0,68.0,37.0,30,4,3,2023
übrige Vergehen Handel (Art. 20),13.0,14.0,1.0,11.0,10.0,0.0,10.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5,0,0,2023
davon Verbrechen,1201.0,2362.0,13.0,2262.0,1385.0,0.0,1385.0,1232.0,153.0,0.0,0.0,2.0,18.0,66.0,209.0,220.0,234.0,190.0,292.0,113.0,38.0,3.0,0.0,474.0,911.0,347,26,538,2023
"anbauen, herstellen oder anders erzeugen",48.0,94.0,3.0,94.0,84.0,0.0,84.0,81.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,13.0,14.0,17.0,25.0,6.0,1.0,0.0,0.0,37.0,47.0,23,1,23,2023
"lagern, versenden, befördern, einführen, ausführen oder durchführen",177.0,218.0,8.0,197.0,188.0,0.0,188.0,160.0,28.0,0.0,0.0,0.0,2.0,5.0,29.0,29.0,42.0,27.0,35.0,16.0,3.0,0.0,0.0,39.0,149.0,44,2,103,2023
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",967.0,1256.0,2.0,1207.0,1131.0,0.0,1131.0,1003.0,128.0,0.0,0.0,2.0,10.0,53.0,174.0,179.0,195.0,157.0,232.0,93.0,34.0,2.0,0.0,408.0,723.0,285,18,420,2023
"besitzen, aufbewahren, erwerben, anders erlangen",690.0,762.0,0.0,732.0,812.0,0.0,812.0,737.0,75.0,0.0,0.0,1.0,7.0,50.0,133.0,130.0,132.0,111.0,165.0,60.0,20.0,3.0,0.0,237.0,575.0,174,16,385,2023
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,4.0,5.0,0.0,5.0,5.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,X,X,X,2023
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",19.0,27.0,0.0,27.0,27.0,0.0,27.0,26.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,3.0,24.0,8,1,15,2023
"in Ausbildungsstätten vorwiegend für Jugendliche gewerbsmässig Betäubungsmittel anbieten, abgeben oder auf andere Weise zugänglich machen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2023
übrige Verbrechen Handel (Art. 20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2023
Total: übrige Straftaten gegen das BetmG,339.0,351.0,1.0,343.0,287.0,0.0,287.0,267.0,20.0,0.0,0.0,0.0,18.0,31.0,53.0,36.0,36.0,25.0,53.0,31.0,4.0,0.0,0.0,141.0,146.0,54,27,65,2023
übrige Übertretungen,28.0,28.0,0.0,23.0,24.0,0.0,24.0,21.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,15.0,9.0,4,3,2,2023
übrige Vergehen,311.0,323.0,1.0,320.0,266.0,0.0,266.0,249.0,17.0,0.0,0.0,0.0,19.0,27.0,48.0,34.0,35.0,25.0,48.0,27.0,3.0,0.0,0.0,128.0,138.0,50,25,63,2023
X: Entfällt aus Datenschutzgründen (Totalwerte 1-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, Ci, diplomatisches Personal, internationale Funktionär/innen
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, legal anwesende Personen ohne ausweispflichtigen Status (Tourist/innen, Besucher/innen), im Meldeverfahren für Kurzerwerbstätigkeit (Staatsangehörige / Angestellte von Unternehmen EU/EFTA), illegal anwesende Personen ohne Asylverfahren, illegal anwesende Asylsuchende mit negativem Asylentscheid und Ausreisepflicht, Rückweisung an der Grenze, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Stand der Datenbank: 15.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
© BFS 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Gesamttotal,32897.0,55304.0,44.0,53019.0,25350.0,3.0,25347.0,22079,3268,0,2,292,2482,1877,4548,4023,3576,2884,3642,1620,361,36,4,12526,12821,6327,924,5570,2022
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",29328.0,42835.0,15.0,41531.0,22961.0,2.0,22959.0,19964,2995,0,2,283,2384,1741,4112,3590,3212,2591,3265,1444,304,29,2,11728,11231,5814,873,4544,2022
Konsum von Betäubungsmitteln,22078.0,23009.0,10.0,22994.0,18412.0,0.0,18412.0,16019,2393,0,2,258,2172,1481,3181,2778,2571,2038,2558,1140,212,20,1,9952,8460,4915,706,2839,2022
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",356.0,365.0,1.0,363.0,353.0,1.0,352.0,301,51,0,0,1,12,12,39,49,54,37,80,52,13,3,0,274,78,68,3,7,2022
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",2664.0,2687.0,4.0,2604.0,2488.0,1.0,2487.0,2110,377,0,0,2,36,128,513,497,405,301,354,165,69,15,2,872,1615,466,11,1138,2022
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",16650.0,16774.0,0.0,15570.0,12900.0,2.0,12898.0,11292,1606,0,1,151,1449,919,2296,1990,1772,1434,1867,820,182,15,2,6417,6481,3078,529,2874,2022
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung ",7412.0,12264.0,29.0,11289.0,6773.0,3.0,6770.0,5995,775,0,0,65,507,461,1218,1104,959,783,1013,524,119,14,3,3107,3663,1566,187,1910,2022
davon Vergehen,6428.0,9933.0,29.0,9055.0,5712.0,3.0,5709.0,5042,667,0,0,65,500,421,1026,906,785,629,846,425,92,11,3,2791,2918,1330,171,1417,2022
"anbauen, herstellen oder anders erzeugen",357.0,434.0,1.0,428.0,413.0,2.0,411.0,367,44,0,0,0,4,4,32,77,79,70,80,50,14,1,0,303,108,83,4,21,2022
"lagern, versenden, befördern, einführen, ausführen oder durchführen",1137.0,1174.0,3.0,1028.0,1001.0,2.0,999.0,863,136,0,0,3,24,49,190,208,161,118,157,62,24,2,1,392,607,196,8,403,2022
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",3510.0,3882.0,25.0,3749.0,3407.0,1.0,3406.0,3032,374,0,0,45,345,290,619,504,443,362,482,263,46,6,1,1699,1707,841,112,754,2022
"besitzen, aufbewahren, erwerben, anders erlangen",4125.0,4314.0,0.0,3724.0,3539.0,1.0,3538.0,3129,409,0,0,21,289,257,651,584,474,383,538,274,57,8,2,1796,1742,795,108,839,2022
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,14.0,16.0,0.0,15.0,15.0,0.0,15.0,13,2,0,0,1,0,0,3,1,1,3,5,0,1,0,0,6,9,4,0,5,2022
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",5.0,5.0,0.0,5.0,5.0,0.0,5.0,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,2,X,X,X,2022
"Betäubungsmittel einer Person unter 18 Jahren ohne medizinische Indikation, anbieten, abgeben oder anders zugänglich machen",94.0,106.0,0.0,104.0,103.0,0.0,103.0,95,8,0,0,9,46,15,16,6,0,6,4,1,0,0,0,75,28,22,4,2,2022
übrige Vergehen Handel (Art. 20),2.0,2.0,0.0,2.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2022
davon Verbrechen,1272.0,2331.0,0.0,2234.0,1406.0,0.0,1406.0,1265,141,0,0,0,11,52,248,269,230,204,236,126,27,3,0,479,927,319,21,587,2022
"anbauen, herstellen oder anders erzeugen",64.0,82.0,0.0,81.0,82.0,0.0,82.0,77,5,0,0,0,0,0,7,24,13,16,10,9,3,0,0,40,42,25,1,16,2022
"lagern, versenden, befördern, einführen, ausführen oder durchführen",170.0,198.0,0.0,184.0,179.0,0.0,179.0,153,26,0,0,0,1,7,26,33,26,22,39,18,6,1,0,38,141,31,1,109,2022
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",1014.0,1240.0,0.0,1189.0,1137.0,0.0,1137.0,1030,107,0,0,0,11,43,211,216,186,154,193,102,19,2,0,398,739,267,16,456,2022
